section,R,N,X0,mu1_error,killed_moment_max,normalized_jet_max,E_X,S_X,random_E_median,ratio_to_random
negative_control,12,15,0.25,0.0,4.0592529337857286e-16,4.0592529337857286e-16,2.2207895348229077e-30,1.1268763699945339e-14,0.5431718038088991,4.088558204328726e-30
negative_control,12,15,0.5,0.0,4.0592529337857286e-16,4.0592529337857286e-16,9.677413541253143e-14,2.317130568085801e-06,0.7866392499435292,1.230222562877184e-13
negative_control,12,15,0.75,0.0,4.0592529337857286e-16,4.0592529337857286e-16,0.0001943442398958229,0.09910182808072038,1.755147832183936,0.00011072813146115433
negative_control,24,27,0.25,0.0,1.6497220256539435e-15,1.6497220256539435e-15,2.9498838385515144e-32,5.273559366969494e-16,0.7395601124121208,3.988700565435157e-32
negative_control,24,27,0.5,0.0,1.6497220256539435e-15,1.6497220256539435e-15,2.094817700262619e-27,4.657385588302532e-13,1.0329072900659884,2.0280791126266416e-27
negative_control,24,27,0.75,0.0,1.6497220256539435e-15,1.6497220256539435e-15,1.3056661059214608e-09,0.00035980908534605574,2.2619914103930006,5.77219745363495e-10
negative_control,40,43,0.25,2.220446049250313e-16,2.141082450224374e-15,2.141082450224374e-15,1.3136351012984798e-32,3.400058012914542e-16,0.5777089751034897,2.273869989752466e-32
negative_control,40,43,0.5,2.220446049250313e-16,2.141082450224374e-15,2.141082450224374e-15,9.928349206875405e-33,3.365363543395006e-16,0.8072272222610707,1.2299324072676544e-32
negative_control,40,43,0.75,2.220446049250313e-16,2.141082450224374e-15,2.141082450224374e-15,5.652252975940805e-17,9.611114903940177e-08,2.3051063111567816,2.4520573947430262e-17

section,label,c,X0,E_u_norm,E_u_physical,gate2_norm,gate2_physical,S_u_norm,S_gammaG_norm,S_gammaG2_norm
singular_control,single,0.01,0.5,1.9513434135012093,1951343413501.209,3.659070529043211,3.65907052904321e+32,2.0,0.7675200000000006,2.000199999999999
singular_control,random_cluster,0.01,0.5,1.2365938150605449,1236593815060.5444,305.5965158704574,3.0559651587045726e+34,1.277938926969322,6.465022680669588,31.060626296869287
singular_control,quadrature_cancelled,0.01,0.5,2.094817700262619e-27,2.094817700262618e-15,4.647969425225856e-25,46479694.25225854,4.657385588302532e-13,1.9994000000000023,15.259259257768862
singular_control,single,0.001,0.5,1.9513434135012093,1.9513434135012086e+18,3.6583664981550563,3.6583664981550553e+48,2.0,0.7679952000000005,2.0000019999999994
singular_control,random_cluster,0.001,0.5,1.2365938150605449,1.2365938150605445e+18,305.60060558611315,3.0560060558611306e+50,1.277938926969322,6.46586645093611,31.060698901972835
singular_control,quadrature_cancelled,0.001,0.5,2.094817700262619e-27,2.094817700262618e-09,4.647969424388515e-25,4.6479694243885145e+23,4.657385588302532e-13,1.9999940000000018,15.259259257768866
singular_control,single,0.0001,0.5,1.9513434135012093,1.951343413501209e+24,3.6583594584186976,3.6583594584186947e+64,2.0,0.7679999520000006,2.0000000199999994
singular_control,random_cluster,0.0001,0.5,1.2365938150605449,1.2365938150605446e+24,305.6006464851244,3.0560064648512414e+66,1.277938926969322,6.465874888638776,31.060699628023876
singular_control,quadrature_cancelled,0.0001,0.5,2.094817700262619e-27,0.0020948177002626175,4.647969424388434e-25,4.64796942438843e+39,4.657385588302532e-13,1.9999999400000015,15.259259257768868
