N,smoothing,level,R,best_t0,best_objective,E_cI_0.5,S_cI_0.5,Beff_cI_0.5,J_max
200,exp,1,8,3721.7742560116963,0.0016033375879762274,0.0002642256744916775,0.019305511092066078,3.910516079032471,0.03140618093350379
200,exp,2,8,2446.277320073909,0.002579645956363719,0.0025294659354294312,0.07814539395767023,2.910672020984894,0.04245275534774025
200,exp,3,8,2202.0394313733486,0.0024898172461336574,0.0013482447435910476,0.049223236915664687,3.2383349258937986,0.03832980253579016
200,cos,1,8,3088.1447144122826,0.0008864623157035168,7.539983467856054e-05,0.016651794774882805,4.5553742685764815,0.028930185622986174
200,cos,2,8,2113.994793702702,0.0009121392958385763,0.002426334892599914,0.08693088013416611,2.958130542393531,0.016468765377052493
200,cos,3,8,2113.995522236109,0.0008904989463476557,0.0024180110728932416,0.08645973307404178,2.959818738416881,0.01629971980977897
200,sharp,1,8,3381.350100325709,0.001942574991211292,0.0007127182809858128,0.03322603161277081,3.458794014296447,0.026592392886872655
200,sharp,2,8,3105.6383747282825,0.0009671482425282627,0.00016387211790180333,0.023986635822069332,4.181441072111756,0.017359937101171976
200,sharp,3,8,3105.6387021106325,0.0009675956470173182,0.0001645869268541199,0.024027609586249655,4.179353062331513,0.017385687330851152
350,exp,1,8,3828.426177625916,0.003532890249055908,0.0010329451356079354,0.044431409501779394,3.2580872078932495,0.0319683245803526
350,exp,2,8,3828.4324361940107,0.003732890878111437,0.0006955268493418363,0.048844819026630605,3.44550633149787,0.04965115830320163
350,exp,3,8,3828.431187925955,0.0037627834537810076,0.0007070646629701693,0.04925778947508587,3.4377098809806292,0.04991372735434802
350,cos,1,8,3486.5741891707935,0.0005955135155488265,6.156626138878357e-05,0.009233911495145413,4.6194146491376165,0.014728397422184526
350,cos,2,8,3739.2785684045843,0.0010566450873894955,0.0022101548799727004,0.13057489938901826,2.9015633798118095,0.020529382788398935
350,cos,3,8,3739.278631059909,0.0010598792089159537,0.002205668630685085,0.13045564716979316,2.9025275595549953,0.02049912335394448
350,sharp,1,8,3502.204207694205,0.002240446557542958,0.0003793405516673849,0.023028623600669335,3.752087808953066,0.021478324275166678
350,sharp,2,8,3410.853074952189,0.00453413466014236,0.001286625396287489,0.0494201799574479,3.1752312158238825,0.03488630441449643
350,sharp,3,8,3410.8531575710317,0.004504877436422972,0.0012533467088925879,0.04898097808535996,3.1877329837029116,0.03490581581240894
500,exp,1,8,2118.308694211159,0.0038650569013830263,0.00020245639540957132,0.027227547085529855,4.1777128028810395,0.03606248709295595
500,exp,2,8,2511.9892178819914,0.006360652444893108,0.000552353620829947,0.04589578550417731,3.6452883336144293,0.0528371326833996
500,exp,3,8,2511.9895759844703,0.006362539295849731,0.0005553673395313279,0.0459886987202475,3.6426440820349373,0.052861873407815715
500,cos,1,8,3259.141060332718,0.003832598893950756,0.0016265915205800935,0.0450190650082275,3.071595165298049,0.03993322044344479
500,cos,2,8,2488.442193752902,0.0033802382981314365,0.004844274398297536,0.1444897203233537,2.5916237939156495,0.04075712659105052
500,cos,3,8,3250.162281080102,0.00043334959700798583,0.0016188143152135763,0.08043676326034295,3.0743893954383035,0.013990669648477701
500,sharp,1,8,2291.7115032754255,0.015861906515423834,0.010618663974751627,0.1056924963590324,2.2214542411335154,0.10188764596027282
500,sharp,2,8,3456.0327889108025,0.006449428462047664,0.0020595781971273967,0.07348606685732335,2.9485078717094617,0.04361587721945059
500,sharp,3,8,3456.0331374894467,0.006501681006421817,0.002098057728965424,0.07399012398004606,2.9396837534356974,0.04363922816581682
800,exp,1,8,3949.6860407208555,0.009640607364844464,0.0018487903798174124,0.06874362496792011,2.976911529531646,0.06713582400071164
800,exp,2,8,3141.3961927768646,0.0028133976339946034,0.0001334080352455335,0.018153897724637717,4.277187777199476,0.033839622656863924
800,exp,3,8,3141.396116418475,0.002811664514670659,0.00013231386785360406,0.01818132789158236,4.281135811016605,0.033846135194787616
800,cos,1,8,3858.70087560608,0.016316110072007388,0.0009545989961385405,0.0584228151652634,3.2939763388322394,0.10455958106734545
800,cos,2,8,3589.291854924556,0.003844632518191807,0.004380113213649699,0.1567004833970408,2.5830986486812546,0.03203026762797981
800,cos,3,8,3589.2918385442727,0.0038383717703606916,0.004372099525046352,0.15663371507201573,2.5839696760043176,0.03201367497654847
800,sharp,1,8,3950.0821196791594,0.013432348680271718,0.00027930225196846827,0.021182244689670216,3.8709208102685584,0.0695641317054946
800,sharp,2,8,3950.1919495016336,0.0073399974253629974,0.000972094792597632,0.056442135090359176,3.2809699242623345,0.04980748037246371
800,sharp,3,8,3950.1918778186005,0.007340042343166983,0.0009719950382770324,0.05643861971324156,3.2810184715966266,0.04981145820750556
