m0,c_I,Q,eta_abs,kappa,W_factor,cutoff_mode,ngrid,n_local_zeros,E_I_zeta,B_eff_zeta,E_I_proxy,B_eff_proxy,D_completed,ratio_E_zeta_proxy,group
27.7179,0.5,1.4842013474668494,0.3368815160108644,0.5,40.0,hard,201,11,0.006292144983538736,12.835530135841047,0.006188344488900165,12.877655743642839,7.076261307142232e-05,1.0167735482122489,A_watch
109.099,0.5,2.854378660484831,0.17516947100321736,0.5,40.0,hard,201,13,0.03193952903233814,3.283498243289754,0.03188745314566255,3.285054020258276,8.529577096172818e-07,1.0016331152706899,A_watch
171.662,0.5,3.3076503607507575,0.15116470771309454,0.5,40.0,hard,201,12,0.05291466431550187,2.4569312982037608,0.05281861229157164,2.458450121754385,9.802603342544701e-07,1.0018185260794055,A_watch
199.64,0.5,3.458638678192063,0.14456554920081024,0.5,40.0,hard,201,12,0.08026515146292018,2.0327749348416497,0.08013461914139766,2.034086579976538,8.337224713891814e-07,1.0016289129831915,A_watch
1006.6523547206804,0.5,5.076508538025508,0.09849289058705561,0.5,40.0,hard,201,13,0.42558642844530287,0.525836976238832,0.4248125194994527,0.5269573023957032,1.5222906351721002e-06,1.0018217658621786,B_top50_Beff
1006.667806955117,0.5,5.0765238880276895,0.09849259277183427,0.5,40.0,hard,201,13,0.4080262257457302,0.5517721692090106,0.4072756518570117,0.5529054865320989,1.5864061577226753e-06,1.00184291372513,B_top50_Beff
1006.7750623057208,0.5,5.0766304272817635,0.0984905257851753,0.5,40.0,hard,201,12,0.35682540224178966,0.6342966914898104,0.3559316274136333,0.6358403727164351,2.2235061811233744e-06,1.0025110857235444,B_top50_Beff
1006.8455026451304,0.5,5.076700391147512,0.09848916845119994,0.5,40.0,hard,201,13,0.3809340903737578,0.5940492203081629,0.38020217830795133,0.5952329804822386,1.6721249836870038e-06,1.0019250601589496,B_top50_Beff
1006.847389558233,0.5,5.0767022652298115,0.09848913209358084,0.5,40.0,hard,201,13,0.3822428757095055,0.5919379766355662,0.38150151118689923,0.5931329298632124,1.6346166871294347e-06,1.001943280697106,B_top50_Beff
1967.253031834377,0.5,5.746516382158138,0.08700923598728559,0.5,40.0,hard,201,13,0.44481730313997336,0.46328176643889335,0.4436644164124329,0.4647659220622162,6.271672126358774e-06,1.0025985557662318,B_top50_Beff
1967.294630296748,0.5,5.746537527390548,0.08700891582396846,0.5,40.0,hard,201,13,0.43737018930873567,0.472936353470394,0.4361740514335843,0.4745025157157879,5.9497532366883536e-06,1.0027423407495701,B_top50_Beff
2030.49464222638,0.5,5.778157642066089,0.0865327723771163,0.5,40.0,hard,201,14,0.43239827589392305,0.47797469083283667,0.43142461596560366,0.4792598655141357,6.174678489684808e-06,1.0022568483398662,B_top50_Beff
2030.5680151207928,0.5,5.778193776891189,0.0865322312310911,0.5,40.0,hard,201,13,0.4070915653850334,0.512354872983119,0.40591853626373703,0.5139999680295908,6.152471545386244e-06,1.0028898141289468,B_top50_Beff
960.4618473895582,0.5,5.029537193396139,0.09941272542064265,0.5,40.0,hard,201,13,0.8829087916551749,0.07709479417656703,0.8819430132214634,0.07777233986422837,8.903657141190572e-07,1.00109505763891,C_random_healthy
960.662809437848,0.5,5.02974640631557,0.09940859033612075,0.5,40.0,hard,201,13,0.8584134779223127,0.09451050071215432,0.8574109838169685,0.09523388175130974,8.510375602678819e-07,1.0011692107102261,C_random_healthy
972.1284263903436,0.5,5.041610855239225,0.09917465158589178,0.5,40.0,hard,201,12,1.1594455186847208,-0.09145054363746646,1.1580022751114554,-0.09068060723327184,6.743380082369853e-07,1.0012463218806082,C_random_healthy
987.85140562249,0.5,5.057655220859913,0.0988600405060804,0.5,40.0,hard,201,13,0.7557305606546734,0.17278663244779913,0.754792116179732,0.1735532069379804,6.418031400065039e-07,1.0012433151523776,C_random_healthy
988.068333161428,0.5,5.057874792065718,0.09885574881852541,0.5,40.0,hard,201,13,1.2366737464086612,-0.13105017762749369,1.235567627800236,-0.13049813552599426,1.2479533482033065e-06,1.0008952311338832,C_random_healthy
988.0780900580976,0.5,5.057884666735485,0.09885555581928986,0.5,40.0,hard,201,13,1.3051738579803565,-0.16430891033057052,1.3040900719222115,-0.16379641915203183,1.301653192162632e-06,1.000831066872971,C_random_healthy
1024.363717421349,0.5,5.093949868918367,0.09815565776389716,0.5,40.0,hard,201,13,1.5399667744870924,-0.265200641023741,1.538804159765392,-0.264736745934977,1.7865662773089315e-06,1.0007555313093757,C_random_healthy
1042.6227411820814,0.5,5.111617617678036,0.09781639343889854,0.5,40.0,hard,201,13,1.580119512521237,-0.2804143565317871,1.5787693592399905,-0.2798904094373656,5.141960013731101e-07,1.0008551934919085,C_random_healthy
1042.6305220883537,0.5,5.111625080470599,0.09781625063040965,0.5,40.0,hard,201,13,1.5837538658453514,-0.2818222478739941,1.5824383306773864,-0.2813129128909296,5.8950643516726e-07,1.000831334240622,C_random_healthy
1046.0984299186366,0.5,5.114945675048924,0.09775274885890504,0.5,40.0,hard,201,12,1.915122416276797,-0.3981097728764434,1.913236661473375,-0.3975061884103559,6.232253394975919e-07,1.0009856359338054,C_random_healthy
1967.530120481928,0.5,5.746657222777447,0.08700710354155113,0.5,40.0,hard,201,13,0.9057852047153551,0.05658929685040915,0.9041609088024265,0.05761573926903833,3.5081853473206596e-06,1.0017964677493965,C_random_healthy
1976.1272770001533,0.5,5.751017221261464,0.08694114115177816,0.5,40.0,hard,201,13,1.563883475927669,-0.2556179714738972,1.561725841450311,-0.25482876635145596,1.8757009627092588e-06,1.0013815705805023,C_random_healthy
2001.9130145317736,0.5,5.763981443237045,0.0867455950238453,0.5,40.0,hard,201,13,1.6224242062711896,-0.27626946338804725,1.620321676026428,-0.27552914693867103,1.6565359128011246e-06,1.00129760051715,C_random_healthy
2001.987951807229,0.5,5.764018875369405,0.08674503168901507,0.5,40.0,hard,201,13,1.7524505917714162,-0.320280858534184,1.750316798224044,-0.3195853098292813,1.710937537540281e-06,1.0012190899096307,C_random_healthy
2030.261044176707,0.5,5.778042590549588,0.08653449540468716,0.5,40.0,hard,201,13,1.2586925940273468,-0.13116592714061118,1.2568470667201328,-0.13032941219635338,2.962623406440987e-06,1.001468378576902,C_random_healthy
2030.70281124498,0.5,5.778260158144742,0.08653123713982061,0.5,40.0,hard,201,13,0.5229920034342568,0.36952746947613613,0.5218221824015463,0.3708040715428021,5.471747398128447e-06,1.0022418001230355,C_random_healthy
2973.9148534020687,0.5,6.159757429872072,0.08117202758264852,0.5,40.0,hard,201,12,0.6680481378625436,0.22188489945567724,0.6657184013704577,0.2238064623730332,7.730107992047558e-06,1.0034995825371356,C_random_healthy
2974.156626506024,0.5,6.1598387244916495,0.08117095631286407,0.5,40.0,hard,201,13,1.5040308441090666,-0.2244980058536727,1.5015078240677997,-0.22357453644630093,4.1286880627782285e-06,1.0016803242719254,C_random_healthy
3037.0567484143385,0.5,6.180767084143204,0.08089610774733011,0.5,40.0,hard,201,13,2.044775393405682,-0.3927041318076449,2.04158210688052,-0.39184607473635924,3.0696952297416247e-06,1.0015641234875639,C_random_healthy
3045.052579103396,0.5,6.18339638094301,0.08086170919609502,0.5,40.0,hard,201,14,1.6181008222354762,-0.26415372007566795,1.6156857938134173,-0.2633338894687198,2.8348185853116792e-06,1.0014947389098217,C_random_healthy
3045.122501356521,0.5,6.1834193432559825,0.08086140891371547,0.5,40.0,hard,201,14,1.7612968706574228,-0.31069722750297085,1.7588642098980853,-0.3099385951554197,3.1676604525805516e-06,1.0013830861675663,C_random_healthy
5004.49042593301,0.5,6.680213807156282,0.07484790373990234,0.5,40.0,hard,201,12,1.0672623695177867,-0.03427682746268034,1.063412626119692,-0.03237405974151819,2.7055481465151423e-05,1.0036201783799974,C_random_healthy
5004.5607342274,0.5,6.680227856099237,0.07484774633001266,0.5,40.0,hard,201,12,1.164908872593592,-0.08037421712389275,1.1611842686678873,-0.07868796070697699,2.5035441307863987e-05,1.0032075907555806,C_random_healthy
5004.638554216867,0.5,6.6802434057925195,0.07484757210589722,0.5,40.0,hard,201,12,1.57220452182835,-0.23825276268293252,1.5678100499618144,-0.23677894071882827,1.632550626209505e-05,1.0028029364058757,C_random_healthy
7995.225808369285,0.5,7.1487228021583356,0.06994256370509155,0.5,40.0,hard,201,13,0.9409868625116881,0.030924326697967804,0.9371694041322929,0.03299105533398113,0.00012843596983083797,1.0040733920276983,C_random_healthy
7995.297075191229,0.5,7.1487317157908,0.06994247649489382,0.5,40.0,hard,201,13,0.8920249302183827,0.05809098954687002,0.8886098557050875,0.06004112985775269,0.00019590686746676886,1.0038431652444204,C_random_healthy
11992.80790048913,0.5,7.554185341057899,0.06618847399499724,0.5,40.0,hard,201,12,1.1387208130662383,-0.06424282951022696,1.1292759267699384,-0.0601239052396881,0.000533340515231878,1.0083636656661186,C_random_healthy
